54,奥萨德支线任务,Othardian Sidequests,サブクエスト：オサード
55,远东之国支线任务,Hingan Sidequests,サブクエスト：ひんがしの国
56,雷克兰德支线任务,Lakeland Sidequests,サブクエスト：レイクランド
57,珂露西亚岛支线任务,Kholusian Sidequests,サブクエスト：コルシア島
58,安穆·艾兰支线任务,Amh Araeng Sidequests,サブクエスト：アム・アレーン
59,伊尔美格支线任务,Il Mheg Sidequests,サブクエスト：イル・メグ
60,拉凯提卡大森林支线任务,Rak'tika Sidequests,サブクエスト：ラケティカ大森林
61,黑风海支线任务,Tempest Sidequests,サブクエスト：テンペスト
62,萨雷安支线任务,Sharlayan Sidequests,サブクエスト：シャーレアン
63,萨维奈岛支线任务,Thavnairian Sidequests,サブクエスト：サベネア島
64,加雷马支线任务,Garlean Sidequests,サブクエスト：ガレマルド
65,叹息海支线任务,Mare Lamentorum Sidequests,サブクエスト：嘆きの海
66,厄尔庇斯支线任务,Elpis Sidequests,サブクエスト：エルピス
67,天外天垓支线任务,Ultima Thule Sidequests,サブクエスト：ウルティマ・トゥーレ
68,战斗精英职业任务,Disciple of War Quests,クラスクエスト：ファイター
69,魔法导师职业任务,Disciple of Magic Quests,クラスクエスト：ソーサラー
70,能工巧匠职业任务,Disciple of the Hand Quests,クラスクエスト：クラフター
71,大地使者职业任务,Disciple of the Land Quests,クラスクエスト：ギャザラー
72,中庸工艺馆交易职业任务,Crystalline Mean Quests,クラスクエスト：ミーン工芸館取引
73,萨雷安魔法大学交易职业任务,Studium Quests,クラスクエスト：魔法大学取引
74,战斗精英特职任务,Disciple of War Job Quests,ジョブクエスト：ファイター
75,魔法导师特职任务,Disciple of Magic Job Quests,ジョブクエスト：ソーサラー
76,职能任务,Role Quests,ロールクエスト
77,军队任务,Grand Company Quests,グランドカンパニークエスト
78,季节活动,Seasonal Events,シーズナルイベント
79,其他任务,Special Quests,エトセトラクエスト
80,佣兵理符,Battlecraft Leves,リーヴ：傭兵稼業
81,采矿理符,Mining Leves,リーヴ：採掘師
82,园艺理符,Botany Leves,リーヴ：園芸師
83,钓鱼理符,Fishing Leves,リーヴ：漁師
84,木工理符,Carpentry Leves,リーヴ：木工師
85,锻冶理符,Blacksmithing Leves,リーヴ：鍛冶師
86,铸甲理符,Armoring Leves,リーヴ：甲冑師
87,雕金理符,Goldsmithing Leves,リーヴ：彫金師
88,制革理符,Leatherworking Leves,リーヴ：革細工師
89,裁缝理符,Clothcrafting Leves,リーヴ：裁縫師
90,炼金理符,Alchemy Leves,リーヴ：錬金術師
91,烹调理符,Cooking Leves,リーヴ：調理師
92,神殿骑士团佣兵理符,Ishgardian Battlecraft Leves,神殿騎士団リーヴ：傭兵稼業
93,神殿骑士团采矿理符,Ishgardian Mining Leves,神殿騎士団リーヴ：採掘師
94,神殿骑士团园艺理符,Ishgardian Botany Leves,神殿騎士団リーヴ：園芸師
95,神殿骑士团钓鱼理符,Ishgardian Fishing Leves,神殿騎士団リーヴ：漁師
96,神殿骑士团木工理符,Ishgardian Carpentry Leves,神殿騎士団リーヴ：木工師
97,神殿骑士团锻冶理符,Ishgardian Blacksmithing Leves,神殿騎士団リーヴ：鍛冶師
98,神殿骑士团铸甲理符,Ishgardian Armoring Leves,神殿騎士団リーヴ：甲冑師
99,神殿骑士团雕金理符,Ishgardian Goldsmithing Leves,神殿騎士団リーヴ：彫金師
100,神殿骑士团制革理符,Ishgardian Leatherworking Leves,神殿騎士団リーヴ：革細工師
101,神殿骑士团裁缝理符,Ishgardian Clothcrafting Leves,神殿騎士団リーヴ：裁縫師
102,神殿骑士团炼金理符,Ishgardian Alchemy Leves,神殿騎士団リーヴ：錬金術師
103,神殿骑士团烹调理符,Ishgardian Cooking Leves,神殿騎士団リーヴ：調理師
104,特殊部队理符,Faction Leves,ギルドリーヴ：ファクション
105,军队理符,Company Leves,グランドカンパニーリーヴ
106,迷宫挑战,Instanced Dungeons,コンテンツ：ダンジョン
107,大型任务,Instanced Raids,コンテンツ：レイド
108,讨伐歼灭战,Instanced Battles,コンテンツ：討伐・討滅戦
109,其他任务,Other Duties,コンテンツ：その他
110,遗产任务,Legacy Quests,レガシークエスト
